emotion,l1_text,trial,l2_text
,,37,"A technical guide explaining how to resolve computer hardware conflicts remains entirely objective and emotionally neutral."
,,38,"Ghostly whispers and demonic transformations in a dark theater area create a chilling and intensely fearful atmosphere."
,,39,"A father's desperate search for his missing child in Dearest highlights a state of profound agony and sorrow."
,,40,"Footage of graphic cruelty toward a defenseless dog causes an immediate and intense feeling of anger and moral disgust."
,,41,"Chaotic and funny mishaps involving an infant lead to a lighthearted and infectious joyful experience."
,,42,"An incredibly skilled card illusion performed for judges leaves observers in a state of total disbelief and surprise."
,,43,"Scientific footage of a sea creature expelling its internal organs triggers a slow and nauseating feeling of visceral disgust."
,,44,"A woman sees a ghostly child in a hotel, causing the protagonist to scream in a state of sudden and paralyzing fear."
,,45,"A scene depicting family violence and domestic physical assault induces a strong feeling of rage and helplessness."
,,46,"Public verbal abuse and humiliation of a character by her superior evoke a sharp sense of resentment and indignant anger."
,,47,"A lone actress is stalked by unseen entities in a haunted opera house, building a state of eerie dread and fear."
,,48,"A DIY tutorial showing how to simulate severe skin burns and blisters creates a visceral and uncomfortable feeling of revulsion."
,,49,"A magician makes a full-sized bicycle appear out of thin air, causing the audience to gasp in astonishment and surprise."
,,50,"A couple overcomes their crisis and shares a warm embrace in Meet Miss Anxiety, bringing a sense of relief and quiet joy."
,,51,"A couple in You Are My Life finally reconciles after years of conflict, their tears of joy highlighting a happy reunion."
,,52,"A magician performs a ribbon transformation trick that breaks physical laws, inducing a state of sudden surprise."
,,53,"The host of a survival show consumes raw insect larvae with gooey insides, triggering a strong and unpleasant gag reflex."
,,54,"A woman sees a ghostly figure in her rearview mirror while driving alone at night, causing a peak of sharp fear."
,,55,"A group of teenagers violently kicks a defenseless classmate, inducing a profound sense of moral outrage and fury."
,,56,"A brutal attack on a woman in a restaurant setting sparks an intense feeling of anger and social indignation."
,,57,"Teenagers summoning a spirit that appears as a gruesome corpse in their room creates a climax of pure and intense terror."
,,58,"Graphic gore and blood splatter during a chaotic zombie encounter trigger a state of intense visceral disgust."
,,59,"A masterfully executed coin transformation routine leaves the audience speechless and in a state of stunned surprise."
,,60,"A family sharing a meal with laughter and genuine warmth in Home Sweet Home creates a stable and joyful emotional tone."
,,61,"A predator slowly devours its prey in a raw nature scene, inducing a lingering sense of biological disgust."
,,62,"Parents share their collective grief over their missing children in a support group, creating an atmosphere of persistent sadness."
,,63,"A possessed actor walks on burning coals with a demonic expression, inducing a state of high-arousal fear."
,,64,"A signed card magically appears inside a sealed lemon during a high-stakes performance, leaving hosts in a state of surprise."
,,65,"A teenage boy's pure happiness as he walks silently beside his crush in the snow creates a gentle and joyful mood."
,,66,"Two young people find a deep connection through sign language, leading to a moment of pure and joyful revelation."
,,67,"A coin vanishing and reappearing from inside a volunteer's closed fist causes a sense of bewilderment and surprise."
,,68,"A possessed doll attacks a terrified couple in their home, inducing a peak of intense and high-arousal fear."
,,69,"A dying father says a final, heartbreaking goodbye to his children, evoking a state of profound and deep sadness."
,,70,"Graphic and slow violence involving a woman being disemboweled by a robot triggers an overwhelming feeling of disgust."
,,71,"The sight and sound of a woman vomiting uncontrollably evoke an immediate and intense visceral reaction of revulsion."
,,72,"A university couple breaks up at a train station in So Young, capturing the heavy and poignant sorrow of lost love."
,,73,"A hotel room transforms into a surreal and frozen hellscape in 1408, inducing a state of escalating dread and fear."
,,74,"Complex coin manipulations that defy visual tracking leave the audience in a state of total amazement and surprise."
,,75,"A couple rides a bicycle together on a sunny day in Under the Hawthorn Tree, evoking a sense of pure and innocent joy."
,,76,"A 70-year-old woman transformed into her younger self dances happily on stage, leading to a joyful and energetic state."
,,77,"Coins passing through a solid glass table create a visual paradox that leaves the viewer in a state of absolute surprise."
,,78,"A psychiatrist is haunted by the ghost of a patient in her own home, building a persistent and chilling feeling of fear."
,,79,"A character collapses upon receiving devastating news of a loved one's death, inducing a sharp and heavy state of grief."
,,80,"Repeated scenes of physical illness and vomiting trigger a continuous and strong feeling of visceral disgust."
